#[1]xEvo [2]E [3]PT [4]PL [5]Nu [6]Nd [7]Ns [8]Tau
4.51868 1.05596 0.393491 0.26898 0.0531736 0.0607698 0 6.7653
4.54368 1.05663 0.393524 0.269578 0.0531736 0.0607698 0 6.81983
4.56868 1.05728 0.393557 0.270171 0.0531736 0.0607698 0 6.8745
4.59368 1.05794 0.393589 0.270759 0.0531736 0.0607698 0 6.92931
4.61868 1.05858 0.39362 0.271342 0.0531736 0.0607698 0 6.98427
4.64368 1.05922 0.393651 0.27192 0.0531736 0.0607698 0 7.03937
4.66868 1.05985 0.393681 0.272493 0.0531736 0.0607698 0 7.09462
4.69368 1.06048 0.39371 0.273061 0.0531736 0.0607698 0 7.15001
4.71868 1.0611 0.393739 0.273624 0.0531736 0.0607698 0 7.20555
4.74368 1.06172 0.393767 0.274182 0.0531736 0.0607698 0 7.26122
4.76868 1.06233 0.393795 0.274736 0.0531736 0.0607698 0 7.31704
4.79368 1.06293 0.393823 0.275285 0.0531736 0.0607698 0 7.373
4.81868 1.06353 0.393849 0.275829 0.0531736 0.0607698 0 7.4291
4.84368 1.06412 0.393875 0.276369 0.0531736 0.0607698 0 7.48535
4.86868 1.06471 0.393901 0.276904 0.0531736 0.0607698 0 7.54173
4.89368 1.06529 0.393926 0.277434 0.0531736 0.0607698 0 7.59825
4.91868 1.06586 0.393951 0.277961 0.0531736 0.0607698 0 7.65492
4.94368 1.06643 0.393975 0.278483 0.0531736 0.0607698 0 7.71172
