#[1]xEvo [2]T [3]Muu [4]Mud [5]Mus [6]Tau [7]E
2.89368 0.47261 0.304597 0.344255 0 3.83276 0.852157
2.91868 0.472801 0.304378 0.344014 0 3.88017 0.853374
2.94368 0.47299 0.304162 0.343778 0 3.92778 0.854575
2.96868 0.473176 0.30395 0.343545 0 3.97558 0.855759
2.99368 0.473359 0.303741 0.343316 0 4.02357 0.856927
3.01868 0.47354 0.303535 0.34309 0 4.07174 0.858079
3.04368 0.473718 0.303332 0.342868 0 4.12011 0.859216
3.06868 0.473893 0.303133 0.342649 0 4.16866 0.860338
3.09368 0.474066 0.302936 0.342434 0 4.2174 0.861444
3.11868 0.474236 0.302743 0.342222 0 4.26633 0.862537
3.14368 0.474404 0.302552 0.342012 0 4.31544 0.863615
3.16868 0.474569 0.302364 0.341806 0 4.36473 0.864679
3.19368 0.474733 0.302179 0.341603 0 4.41421 0.865729
3.21868 0.474894 0.301997 0.341403 0 4.46387 0.866766
3.24368 0.475052 0.301817 0.341206 0 4.51372 0.867789
3.26868 0.475209 0.30164 0.341012 0 4.56375 0.8688
3.29368 0.475363 0.301465 0.34082 0 4.61396 0.869797
3.31868 0.475515 0.301293 0.340632 0 4.66435 0.870782
3.34368 0.475666 0.301124 0.340446 0 4.71492 0.871755
3.36868 0.475814 0.300957 0.340262 0 4.76567 0.872716
3.39368 0.47596 0.300792 0.340081 0 4.8166 0.873665
3.41868 0.476104 0.300629 0.339903 0 4.8677 0.874602
3.44368 0.476247 0.300469 0.339727 0 4.91899 0.875527
3.46868 0.476387 0.300311 0.339553 0 4.97045 0.876442
3.49368 0.476526 0.300155 0.339382 0 5.02209 0.877345
3.51868 0.476663 0.300001 0.339213 0 5.07391 0.878237
3.54368 0.476798 0.299849 0.339047 0 5.1259 0.879119
3.56868 0.476931 0.2997 0.338882 0 5.17806 0.87999
3.59368 0.477063 0.299552 0.33872 0 5.23041 0.880851
3.61868 0.477193 0.299406 0.33856 0 5.28292 0.881702
